domain,system,question_no,question_id,prompt_type,thinking_level,input_tokens_mean,input_tokens_std,input_tokens_var,input_tokens_count,output_tokens_mean,output_tokens_std,output_tokens_var,output_tokens_count,reasoning_tokens_mean,reasoning_tokens_std,reasoning_tokens_var,reasoning_tokens_count,cached_tokens_mean,cached_tokens_std,cached_tokens_var,cached_tokens_count,tool_tokens_mean,tool_tokens_std,tool_tokens_var,tool_tokens_count,total_tokens_mean,total_tokens_std,total_tokens_var,total_tokens_count,cost_usd_mean,cost_usd_std,cost_usd_var,cost_usd_count,latency_s_mean,latency_s_std,latency_s_var,latency_s_count
cyber_loghub,Android,2,q2_simpin,garbage,low,129132.0,0.0,0.0,3,379.6666666666667,77.36493607140986,5985.333333333334,3,753.0,51.96152422706632,2700.0,3,40949.333333333336,70926.32586940714,5030543701.333333,3,0.0,0.0,0.0,3,130264.66666666667,25.403411844344586,645.3333333333867,3,0.19814733333333331,0.12781984872989535,0.016337913729333332,3,16.249666666666666,0.8675081171570279,0.7525703333333317,3
cyber_loghub,Android,3,q3_powermanager,context,high,2234.0,0.0,0.0,3,131.0,0.0,0.0,3,695.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3060.0,0.0,0.0,3,0.014379999999999999,0.0,0.0,3,8.669333333333332,0.14664696837416386,0.021505333333333012,3
cyber_loghub,Android,3,q3_powermanager,context,low,2234.0,0.0,0.0,3,130.0,0.0,0.0,3,563.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,2927.0,0.0,0.0,3,0.012783999999999998,0.0,0.0,3,7.256,0.09637945839233597,0.00928900000000002,3
cyber_loghub,Android,3,q3_powermanager,full,high,128936.0,0.0,0.0,3,315.3333333333333,44.52340208624373,1982.3333333333326,3,3482.6666666666665,335.45541184087836,112530.33333333333,3,81905.33333333333,70932.09937209905,5031362721.333334,3,0.0,0.0,0.0,3,132734.0,366.814667100431,134553.0,3,0.15601866666666667,0.1320033436142181,0.017424882725333334,3,39.295,6.506168073451531,42.330223000000004,3
cyber_loghub,Android,3,q3_powermanager,full,low,128936.0,0.0,0.0,3,216.33333333333334,24.58319208998972,604.3333333333331,3,1700.6666666666667,310.71744935444696,96545.33333333331,3,40949.333333333336,70926.32586940714,5030543701.333333,3,0.0,0.0,0.0,3,130853.0,335.29539215444044,112423.0,3,0.20716733333333334,0.12373120256965635,0.015309410489333335,3,21.97,2.2400140624558587,5.017663,3
cyber_loghub,Android,3,q3_powermanager,garbage,high,129135.0,0.0,0.0,3,350.3333333333333,56.58032638058333,3201.333333333334,3,3425.3333333333335,968.793751700192,938561.3333333334,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,132910.66666666666,912.2134253196066,832133.3333333295,3,0.303578,0.010946561103835292,0.0001198271999999997,3,36.28066666666667,7.8760777251963,62.03260033333333,3
cyber_loghub,Android,3,q3_powermanager,garbage,low,129135.0,0.0,0.0,3,233.0,15.716233645501712,247.0,3,1758.3333333333333,371.9910393186015,138377.33333333334,3,40949.333333333336,70926.32586940714,5030543701.333333,3,0.0,0.0,0.0,3,131126.33333333334,385.7127601380751,148774.33333333227,3,0.20845733333333336,0.13221495897716465,0.01748079537733333,3,24.239333333333335,3.546031913749979,12.574342333333338,3
cyber_loghub,Hadoop,1,q1_leaserenewer,context,high,2362.0,0.0,0.0,3,622.3333333333334,57.73502691896259,3333.3333333333344,3,1067.3333333333333,26.55811238272277,705.3333333333325,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,4051.6666666666665,84.29313930168533,7105.333333333328,3,0.024999999999999998,0.0010115176716202258,1.0231680000000027e-06,3,15.667333333333334,1.8813870769550158,3.5396173333333385,3
cyber_loghub,Hadoop,1,q1_leaserenewer,context,low,2362.0,0.0,0.0,3,457.6666666666667,18.475208614068016,341.33333333333303,3,690.6666666666666,16.165807537309504,261.3333333333328,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,3510.3333333333335,2.309401076758437,5.33333333333303,3,0.018504000000000003,2.771281292110221e-05,7.680000000000095e-10,3,11.152000000000001,0.010816653826390776,0.00011699999999997422,3
cyber_loghub,Hadoop,1,q1_leaserenewer,full,high,184403.0,0.0,0.0,3,760.3333333333334,209.7744820833395,44005.33333333333,3,2952.0,751.8404085974629,565264.0,3,60067.0,104039.09585823976,10824133467.0,3,0.0,0.0,0.0,3,188115.33333333334,936.0113959420187,876117.3333333265,3,0.3052333333333333,0.17760288007049135,0.03154278300933334,3,41.14233333333333,8.908461838798733,79.3606923333333,3
